0,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數名稱（英文）,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,,,,熱門社團,Hot,,,,TRUE,FALSE
,,,,,,,,最新社團,New,,,,TRUE,FALSE
,,,,,,,,邀請連結,Link,,,,TRUE,FALSE
,,,加入私密社團,用戶點擊私密社團加入申請算一次,社團_申請加入_點擊,Group_ApplyToJoin_clicked,from,尚未加入任何社團的畫面,NonGroup,,加入私密社團,,TRUE,FALSE
,,,,,,,,熱門社團,Hot,,,,TRUE,FALSE
,,,,,,,,最新社團,New,,,,TRUE,FALSE
,,,,,,,,邀請連結,Link,,,,TRUE,FALSE
觀看社團頁,,瀏覽社團,觀看社團頁,頁面出現算一次,社團_觀看,Group_viewed,,,,,觀看社團頁,,TRUE,TRUE
點擊社團右上角設定按鈕,社團設定,點進社團設定頁,點擊社團右上角設定按鈕,用戶點擊按鈕算一次,社團_社團設定_點擊,Group_GroupSettings_clicked,,,,,點擊社團右上角設定按鈕,,TRUE,FALSE
點擊邀請社團成員按鈕,,邀請社團成員,邀請社團成員,用戶點擊按鈕算一次,社團設定_邀請社團成員_點擊,GroupSettings_InviteGroupMember_clicked,,,,,,,TRUE,FALSE
點擊退出社團按鈕,,退出社團,退出社團,用戶點擊按鈕算一次,社團設定_退出社團_點擊,GroupSettings_LeaveGroup_clicked,,,,,,,TRUE,FALSE
,,,,,退出社團_確定退出_點擊,LeaveGroup_ConfirmLeave_clicked,,,,,,,TRUE,FALSE
,,,,,退出社團_取消退出_點擊,LeaveGroup_CancelLeave_clicked,,,,,,,TRUE,FALSE
點擊社團設定頁按鈕,,社團設定頁,新增or編輯->社團名稱、簡介,用戶點擊按鈕算一次,社團設定_社團設定_點擊,GroupSettings_GroupSettingsPage_clicked,,,,,新增or編輯->社團名稱、簡介,,TRUE,TRUE
,,,,,社團名稱_點擊,GroupName_clicked,,,,,,,TRUE,TRUE
,,,,,社團名稱_名稱_點擊,GroupName_Name_clicked,,,,,,,TRUE,FALSE
,,,,,社團簡介_點擊,GroupIntroduction_clicked,,,,,,,TRUE,TRUE
,,,,,社團簡介_簡介_點擊,GroupIntroduction_Introduction_clicked,,,,,,,TRUE,TRUE
,,,新增or編輯->社團佈置,,社團圖示_點擊,GroupIcon_clicked,,,,,新增or編輯->社團佈置,,TRUE,TRUE
,,,,,社團圖示_更換圖片_點擊,GroupIcon_ChangePicture_clicked,,,,,,,TRUE,TRUE
,,,,,首頁背景_點擊,HomeBackground_clicked,,,,,,,TRUE,TRUE
,,,,,首頁背景_更換圖片_點擊,HomeBackground_ChangePicture_clicked,,,,,,,TRUE,TRUE
,,,,,主題色彩_點擊,ThemeColor_clicked,,,,,,,TRUE,TRUE
,,,,,主題色彩_主題_點擊,ThemeColor_Theme_clicked,,,,,,,TRUE,TRUE
,,,,,主題色彩_主題套用_點擊,ThemeColor.Theme_Apply_clicked,,,,,,,TRUE,TRUE
,,,,,解散社團_點擊,DissolveGroup_clicked,,,,,,,TRUE,FALSE
,,,,,解散社團_返回_點擊,DissolveGroup_Return_clicked,,,,,,,TRUE,FALSE
,,,,,解散社團_確定解散_點擊,DissolveGroup_ConfirmDissolution_clicked,,,,,,,TRUE,FALSE
,,,,,確定解散_返回_點擊,ConfirmDissolution_Return_clicked,,,,,,,TRUE,FALSE
,,,,,確定解散_確定解散_點擊,ConfirmDissolution_ConfirmDissolution_clicked,,,,,,,TRUE,FALSE
觀看社團設定頁,,,觀看社團設定頁,頁面出現算一次,社團.設定.社團設定.社團名稱_觀看,Group.Settings.GroupSettings.GroupName_viewed,,,,,觀看社團設定頁,,TRUE,TRUE
,,,,,社團.設定.社團設定.社團簡介_觀看,Group.Settings.GroupSettings.GroupIntroduction_viewed,,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.社團圖示_觀看,Group.Settings.GroupSettings.GroupIcon_viewed,,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.首頁背景_觀看,Group.Settings.GroupSettings.HomeBackground_viewed,,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.主題色彩_觀看,Group.Settings.GroupSettings.ThemeColor_viewed,,,,,,,TRUE,TRUE
點擊社團公開度按鈕,,社團公開度,新增or編輯->社團公開度,用戶點擊按鈕算一次,社團設定_社團公開度_點擊,GroupSettings_GroupOpenness_clicked,,,,,新增or編輯->社團公開度,,TRUE,TRUE
,,,,,社團權限_公開度_點擊,GroupPermissions_Openness_clicked,from,點擊『完全公開』,Public,,,,TRUE,TRUE
,,,,,,,,點擊『不公開』,NonPublic,,,,TRUE,TRUE
,,,,,社團公開度_新增審核題目_點擊,GroupOpenness_AddReviewQuestion_clicked,,,,,,,TRUE,TRUE
,,,,,社團公開度_新增題目_點擊,GroupOpenness_AddQuestion_clicked,,,,,,,TRUE,TRUE
,,,,,社團公開度_暫時跳過_點擊,GroupOpenness_SkipForNow_clicked,,,,,,,TRUE,TRUE
,,,,,社團公開度_管理_點擊,GroupOpenness_Manage_clicked,,,,,,,TRUE,TRUE
,,,,,社團公開度.管理_編輯_點擊,GroupOpenness.Manage_Edit_clicked,,,,,,,TRUE,TRUE
,,,,,社團公開度.管理_移除_點擊,GroupOpenness.Manage_Remove_clicked,,,,,,,TRUE,TRUE
,,,,,題目_文字區_點擊,Question_TextArea_clicked,,,,,,,TRUE,TRUE
觀看社團公開度頁面,,,觀看社團公開度頁面,頁面出現算一次,社團.設定.社團公開度.公開度_觀看,Group.Settings.GroupOpenness.Openness_viewed,,,,,觀看社團公開度頁面,,TRUE,TRUE
,,,,,社團.設定.社團公開度.不公開.審核題目.新增審核題目_觀看,Group.Settings.GroupOpenness.NonPublic.ReviewQuestion.AddReviewQuestion_viewed,,,,,,,TRUE,TRUE
,,,,,社團.設定.社團公開度.不公開.審核題目.編輯_觀看,Group.Settings.GroupOpenness.NonPublic.ReviewQuestion.Edit_viewed,,,,,,,TRUE,TRUE
點擊頻道管理按鈕,,頻道管理,新增or編輯->頻道,用戶點擊按鈕算一次,社團設定_頻道管理_點擊,GroupSettings_ChannelManagement_clicked,,,,,新增or編輯->頻道,,TRUE,FALSE
,,,,,頻道管理_新增分類_點擊,ChannelManagement_AddCategory_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_編輯分類_點擊,ChannelManagement_EditCategory_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_編輯排序_點擊,ChannelManagement_EditOrder_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_編輯排序選項_點擊,ChannelManagement_OrderOption_clicked,from,頻道排序,Channel,,,,TRUE,FALSE
,,,,,,,,分類排序,Category,,,,TRUE,FALSE
,,,,,頻道管理_刪除分類_點擊,ChannelManagement_DeleteCategory_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_新增頻道_點擊,ChannelManagement_AddChannel_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_編輯頻道_點擊,ChannelManagement_EditChannel_clicked,,,,,,,TRUE,FALSE
,,,,,頻道管理_樣式_點擊,ChannelManagement_Style_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,樣式_頻道名稱_點擊,Style_ChannelName_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,頻道管理_權限_點擊,ChannelManagement_Permissions_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,權限_完全公開_點擊,Permissions_Public_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,權限_不公開_點擊,Permissions_NonPublic_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開_任一權限_點擊,NonPublic_AnyPermission_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限_成員_點擊,NonPublic.AnyPermission_Members_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.成員_新增成員_點擊,NonPublic.AnyPermission.Members_AddMember_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.成員_移除成員_點擊,NonPublic.AnyPermission.Members_RemoveMember_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限_角色_點擊,NonPublic.AnyPermission_Roles_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.角色_新增角色_點擊,NonPublic.AnyPermission.Roles_AddRole_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.角色_移除角色_點擊,NonPublic.AnyPermission.Roles_RemoveRole_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限_方案_點擊,NonPublic.AnyPermission_Plan_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.方案_新增方案_點擊,NonPublic.AnyPermission.Plan_AddPlan_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,不公開.任一權限.方案_移除方案_點擊,NonPublic.AnyPermission.Plan_RemovePlan_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,頻道管理_管理員_點擊,ChannelManagement_Admin_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,管理員_新增角色_點擊,Admin_AddRole_clicked,from,新增頻道,Create,,,,TRUE,FALSE
,,,,,,,,編輯頻道,Edit,,,,TRUE,FALSE
,,,,,管理員_移除角色_點擊,Admin_RemoveRole_clicked,from,新增頻道,Create,,,,TRUE,FALSE
