用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,刪除訊息_確定刪除_點擊,DeleteMessage_ConfirmDelete_clicked,,,,,,FALSE,FALSE
,,,,,刪除訊息_取消_點擊,DeleteMessage_Cancel_clicked,,,,,,FALSE,FALSE
,,訊息傳送失敗,訊息傳送失敗,,訊息_重試_點擊,Message_Retry_clicked,,,,,,FALSE,FALSE
,,,,,訊息.重試_重新傳送_點擊,Message.Retry_Resend_clicked,,,,,,FALSE,FALSE
,,,,,訊息.重試_刪除訊息_點擊,Message.Retry_DeleteMessage_clicked,,,,,,FALSE,FALSE
,,,,,訊息.重試_返回_點擊,Message.Retry_Return_clicked,,,,,,FALSE,FALSE
,貼文、聊天共用功能,表情符號,表情符號,用戶點擊算一次,表情符號_現有的表情_點擊,Emoticon_ExistingEmoticon_clicked,from,任一貼文,,,,FALSE,FALSE
,,,,,,,,任一聊天室,,,,FALSE,FALSE
,,,,,表情符號_新增表情_點擊,Emoticon_AddEmoticon_clicked,from,任一貼文,,,,FALSE,FALSE
,,,,,,,,任一聊天室,,,,FALSE,FALSE
,搜尋貼文or訊息,內容搜尋,搜尋特定內容,用戶點擊算一次,內容搜尋_點擊,ContentSearch_clicked,,,,,,FALSE,FALSE
,,,,,內容搜尋_全部_點擊,ContentSearch_All_clicked,,,,,,FALSE,FALSE
,,,,,內容搜尋_貼文_點擊,ContentSearch_Post_clicked,,,,,,FALSE,FALSE
,,,,,內容搜尋_聊天_點擊,ContentSearch_Chat_clicked,,,,,,FALSE,FALSE
,,,,,內容搜尋_查看_點擊,ContentSearch_View_clicked,from,全部,,,,FALSE,FALSE
,,,,,,,,貼文,,,,FALSE,FALSE
,,,,,,,,聊天,,,,FALSE,FALSE
,,,,頁面出現算一次,內容搜尋_全部_觀看,ContentSearch_All_viewed,,,,,,TRUE,FALSE
,,,,,內容搜尋_聊天_觀看,ContentSearch_Chat_viewed,,,,,,TRUE,FALSE
,,,,,內容搜尋_貼文_觀看,ContentSearch_Post_viewed,,,,,,TRUE,FALSE
探索社團,探索社團頁,搜尋,點擊該按鈕,用戶點擊按鈕算一次,探索社團_搜尋_點擊,ExploreGroup_Search_clicked,,,,點擊該按鈕,,FALSE,FALSE
,,熱門社團頁,,,探索社團_熱門社團_點擊,ExploreGroup_PopularGroups_clicked,,,,,,FALSE,FALSE
,,最新社團頁,,,探索社團_最新社團_點擊,ExploreGroup_NewestGroups_clicked,,,,,,FALSE,FALSE
,,熱門社團頁,觀看探索社團頁,頁面出現算一次,探索社團.熱門社團_觀看,ExploreGroup.PopularGroups_viewed,,,,,,TRUE,TRUE
,,最新社團頁,,,探索社團.最新社團_觀看,ExploreGroup.NewestGroups_viewed,,,,,,TRUE,TRUE
點擊社團按鈕,社團本身,建立社團,建立社團,用戶點擊按鈕算一次,建立社團_點擊,CreateGroup_clicked,from,首頁,,建立社團,,FALSE,FALSE
,,,,,,,,熱門社團,,,,FALSE,FALSE
,,,,,,,,最新社團,,,,FALSE,FALSE
,,,,,上一步_點擊,PreviousStep_clicked,from,名稱,,,,FALSE,FALSE
,,,,,,,,權限,,,,FALSE,FALSE
,,,,,下一步_點擊,NextStep_clicked,from,權限,,,,FALSE,FALSE
,,,,,,,,佈置,,,,FALSE,FALSE
,,,,,建立社團GO_點擊,CreateGroupGO_clicked,,,,,,FALSE,FALSE
,,加入社團,加入公開社團,用戶點擊加入公開社團算一次,社團_加入_點擊,Group_Join_clicked,from,首頁,,加入公開社團,,FALSE,FALSE
,,,,,,,,熱門社團,,,,FALSE,FALSE
,,,,,,,,最新社團,,,,FALSE,FALSE
,,,加入私密社團,用戶點擊私密社團加入申請算一次,社團_申請加入_點擊,Group_ApplyToJoin_clicked,from,首頁,,加入私密社團,,FALSE,FALSE
,,,,,,,,熱門社團,,,,FALSE,FALSE
,,,,,,,,最新社團,,,,FALSE,FALSE
觀看社團頁,,瀏覽社團,觀看社團頁,頁面出現算一次,社團_觀看,Group_viewed,,,,觀看社團頁,,FALSE,TRUE
點擊社團右上角設定按鈕,社團設定,點進社團設定頁,點擊社團右上角設定按鈕,用戶點擊按鈕算一次,社團_社團設定_點擊,Group_GroupSettings_clicked,,,,點擊社團右上角設定按鈕,,FALSE,FALSE
點擊邀請社團成員按鈕,,邀請社團成員,邀請社團成員,用戶點擊按鈕算一次,社團設定_邀請社團成員_點擊,GroupSettings_InviteGroupMember_clicked,,,,,,FALSE,FALSE
點擊退出社團按鈕,,退出社團,退出社團,用戶點擊按鈕算一次,社團設定_退出社團_點擊,GroupSettings_LeaveGroup_clicked,,,,,,FALSE,FALSE
,,,,,退出社團_確定退出_點擊,LeaveGroup_ConfirmLeave_clicked,,,,,,FALSE,FALSE
,,,,,退出社團_取消退出_點擊,LeaveGroup_CancelLeave_clicked,,,,,,FALSE,FALSE
點擊社團設定頁按鈕,,社團設定頁,新增or編輯->社團名稱、簡介,用戶點擊按鈕算一次,社團設定_社團設定頁_點擊,GroupSettings_GroupSettingsPage_clicked,,,,新增or編輯->社團名稱、簡介,,FALSE,FALSE
,,,,,社團名稱_點擊,GroupName_clicked,,,,,,FALSE,FALSE
,,,,,社團名稱_名稱_點擊,GroupName_Name_clicked,from,"新增社團
編輯社團",,,,FALSE,FALSE
,,,,,社團簡介_點擊,GroupIntroduction_clicked,,,,,,FALSE,FALSE
,,,新增or編輯->社團佈置,,社團佈置_社團圖示_點擊,GroupArrangement_GroupIcon_clicked,,,,新增or編輯->社團佈置,,FALSE,FALSE
,,,,,社團佈置_首頁背景_點擊,GroupArrangement_HomeBackground_clicked,,,,,,FALSE,FALSE
